                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8067,                 2.9083,                 1.9861,                0.36175,                0.49486,                0.36522,                0.13827,                 1.8858,                 2.3296,                 1.9586,               0.003328,               0.003328,               0.003328
                      2,                 1.7138,                 2.1382,                  1.853,                 0.5405,                  0.568,                0.56643,                0.23371,                 1.8039,                 1.7668,                 1.8817,              0.0065954,              0.0065954,              0.0065954
                      3,                 1.7787,                 2.0559,                  1.913,                0.35219,                0.41096,                0.29504,                0.11189,                 2.0122,                 2.1661,                 2.0728,              0.0097968,              0.0097968,              0.0097968
                      4,                 1.8081,                 2.0513,                 1.9655,                0.45565,                0.55993,                0.49581,                0.19826,                  1.915,                 1.7191,                 2.0066,               0.009703,               0.009703,               0.009703
                      5,                  1.736,                 1.9393,                 1.8995,                0.43192,                0.53253,                0.43739,                0.16413,                  1.806,                 1.8798,                  1.886,               0.009604,               0.009604,               0.009604
                      6,                  1.692,                 1.8523,                  1.849,                0.59114,                0.64897,                0.61792,                 0.2769,                 1.7127,                 1.4146,                 1.7652,               0.009505,               0.009505,               0.009505
                      7,                 1.6481,                  1.798,                 1.8178,                0.65183,                0.67322,                0.68392,                0.29607,                 1.6892,                 1.3917,                 1.7573,               0.009406,               0.009406,               0.009406
                      8,                 1.6249,                 1.7657,                 1.7971,                0.68969,                0.70291,                0.74114,                0.35247,                 1.5729,                 1.3274,                  1.665,               0.009307,               0.009307,               0.009307
                      9,                  1.593,                 1.7144,                 1.7702,                0.73929,                0.73887,                0.77297,                0.38189,                 1.5707,                 1.2281,                 1.6927,               0.009208,               0.009208,               0.009208
                     10,                 1.5773,                 1.6972,                 1.7617,                0.80756,                0.77483,                0.83732,                0.39722,                 1.5694,                 1.2028,                 1.6758,               0.009109,               0.009109,               0.009109
                     11,                 1.5559,                 1.6611,                 1.7441,                0.80957,                0.77165,                0.83397,                0.41499,                 1.5236,                 1.1614,                  1.614,                0.00901,                0.00901,                0.00901
                     12,                 1.5376,                 1.6407,                 1.7266,                0.77543,                0.77825,                0.82609,                0.40306,                 1.4874,                 1.1937,                 1.5894,               0.008911,               0.008911,               0.008911
                     13,                  1.525,                 1.6245,                 1.7096,                0.79336,                0.83219,                0.85574,                0.44196,                 1.4899,                 1.0914,                 1.5951,               0.008812,               0.008812,               0.008812
                     14,                 1.5182,                 1.6142,                 1.7041,                0.81252,                0.79623,                0.84386,                0.43713,                 1.4579,                 1.1165,                 1.5663,               0.008713,               0.008713,               0.008713
                     15,                 1.5063,                 1.5901,                 1.6951,                0.82674,                0.83749,                0.88071,                0.46047,                 1.4345,                 1.0748,                 1.5518,               0.008614,               0.008614,               0.008614
                     16,                 1.4924,                 1.5679,                 1.6818,                0.86491,                0.84589,                0.91428,                0.48739,                  1.432,                 1.0429,                 1.5486,               0.008515,               0.008515,               0.008515
                     17,                 1.4818,                  1.561,                 1.6746,                0.85897,                0.83955,                0.89666,                0.49019,                 1.3912,                 1.0406,                 1.5036,               0.008416,               0.008416,               0.008416
                     18,                 1.4778,                 1.5462,                  1.669,                0.86156,                0.83647,                  0.895,                0.50174,                 1.3812,                 1.0191,                 1.5068,               0.008317,               0.008317,               0.008317
                     19,                 1.4654,                 1.5401,                 1.6671,                0.88718,                0.84831,                0.92212,                0.50706,                 1.3779,                 1.0176,                 1.5137,               0.008218,               0.008218,               0.008218
                     20,                 1.4557,                 1.5257,                 1.6543,                0.87937,                0.86644,                0.92165,                0.51183,                 1.3741,                0.97946,                 1.5027,               0.008119,               0.008119,               0.008119
                     21,                 1.4488,                 1.5172,                 1.6498,                0.86638,                0.85487,                0.91814,                0.51812,                  1.359,                0.99168,                 1.5087,                0.00802,                0.00802,                0.00802
                     22,                 1.4508,                 1.5104,                 1.6465,                0.87988,                0.86558,                0.92379,                0.52281,                 1.3589,                0.97116,                 1.4921,               0.007921,               0.007921,               0.007921
                     23,                 1.4433,                 1.5044,                 1.6486,                0.88569,                0.87562,                0.92915,                0.53424,                 1.3308,                0.96107,                 1.4673,               0.007822,               0.007822,               0.007822
                     24,                  1.429,                 1.4901,                 1.6348,                0.90435,                0.86615,                0.93556,                 0.5431,                 1.3162,                0.93668,                 1.4624,               0.007723,               0.007723,               0.007723
                     25,                 1.4213,                 1.4828,                 1.6267,                0.90516,                0.86613,                 0.9225,                0.53341,                 1.3215,                0.94668,                 1.4645,               0.007624,               0.007624,               0.007624
                     26,                   1.42,                 1.4714,                 1.6249,                0.89353,                0.87671,                0.93404,                0.54783,                  1.306,                0.92271,                 1.4626,               0.007525,               0.007525,               0.007525
                     27,                 1.4107,                 1.4759,                 1.6195,                0.86927,                0.89469,                0.93498,                0.55278,                 1.3019,                 0.9215,                 1.4514,               0.007426,               0.007426,               0.007426
                     28,                 1.4134,                 1.4599,                 1.6193,                 0.8957,                0.88232,                0.93922,                0.55577,                 1.3014,                0.90016,                 1.4485,               0.007327,               0.007327,               0.007327
                     29,                 1.4101,                 1.4508,                   1.62,                 0.8801,                0.89237,                0.94164,                0.56309,                 1.2835,                0.89924,                 1.4365,               0.007228,               0.007228,               0.007228
                     30,                 1.3962,                  1.455,                 1.6155,                0.89459,                0.89368,                0.94074,                0.56927,                 1.2796,                0.89459,                 1.4379,               0.007129,               0.007129,               0.007129
                     31,                 1.3926,                 1.4447,                 1.6094,                0.89437,                0.89897,                0.94601,                0.57026,                 1.2832,                0.86788,                 1.4472,                0.00703,                0.00703,                0.00703
                     32,                 1.3885,                 1.4324,                 1.6071,                0.90644,                0.89897,                0.94965,                0.57384,                 1.2798,                0.85822,                 1.4423,               0.006931,               0.006931,               0.006931
                     33,                   1.38,                 1.4235,                 1.5916,                0.90503,                0.90567,                0.95334,                0.58185,                 1.2731,                0.85522,                 1.4307,               0.006832,               0.006832,               0.006832
                     34,                 1.3807,                 1.4206,                 1.5998,                0.90292,                0.90582,                0.95305,                0.58367,                 1.2721,                 0.8458,                   1.43,               0.006733,               0.006733,               0.006733
                     35,                 1.3798,                  1.411,                 1.5958,                0.90708,                 0.9026,                0.95448,                0.58197,                 1.2648,                0.83791,                 1.4237,               0.006634,               0.006634,               0.006634
                     36,                 1.3721,                 1.4039,                  1.593,                0.89311,                 0.9085,                0.95198,                0.58255,                 1.2557,                0.84123,                 1.4224,               0.006535,               0.006535,               0.006535
                     37,                 1.3667,                 1.3981,                  1.589,                0.90287,                0.90722,                 0.9544,                0.59008,                 1.2574,                0.82763,                 1.4183,               0.006436,               0.006436,               0.006436
                     38,                 1.3635,                 1.3895,                 1.5905,                0.89002,                0.92148,                0.95378,                0.58982,                 1.2581,                0.82228,                 1.4229,               0.006337,               0.006337,               0.006337
                     39,                 1.3628,                 1.3851,                 1.5839,                0.88792,                 0.9161,                0.95378,                0.59257,                 1.2561,                  0.814,                 1.4197,               0.006238,               0.006238,               0.006238
                     40,                 1.3591,                 1.3761,                 1.5872,                0.89832,                0.91353,                0.95716,                0.59523,                 1.2527,                0.80851,                 1.4222,               0.006139,               0.006139,               0.006139
                     41,                 1.3528,                 1.3758,                 1.5817,                0.89997,                0.91695,                0.95874,                0.59636,                 1.2541,                0.80433,                 1.4258,                0.00604,                0.00604,                0.00604
                     42,                  1.354,                 1.3706,                  1.575,                0.90005,                 0.9161,                0.95817,                0.59767,                 1.2488,                 0.7973,                 1.4207,               0.005941,               0.005941,               0.005941
                     43,                  1.343,                 1.3544,                 1.5657,                0.90081,                0.92209,                0.95911,                0.59816,                 1.2467,                0.79391,                 1.4182,               0.005842,               0.005842,               0.005842
                     44,                 1.3392,                 1.3493,                 1.5634,                0.89984,                0.92295,                0.96081,                 0.6002,                 1.2458,                0.78752,                 1.4181,               0.005743,               0.005743,               0.005743
                     45,                 1.3383,                 1.3504,                 1.5727,                 0.9003,                0.92295,                0.96191,                0.59936,                 1.2442,                0.78568,                  1.419,               0.005644,               0.005644,               0.005644
                     46,                 1.3362,                 1.3414,                 1.5595,                0.89976,                0.92216,                0.96119,                0.60039,                 1.2415,                0.78572,                 1.4163,               0.005545,               0.005545,               0.005545
                     47,                 1.3309,                 1.3334,                 1.5559,                0.90514,                0.92295,                0.96156,                0.60095,                 1.2366,                0.78395,                  1.414,               0.005446,               0.005446,               0.005446
                     48,                 1.3249,                  1.334,                 1.5596,                0.91138,                0.92447,                0.96381,                0.60398,                 1.2334,                0.78173,                 1.4133,               0.005347,               0.005347,               0.005347
                     49,                  1.333,                 1.3223,                 1.5643,                0.90982,                0.92421,                0.96514,                0.60673,                 1.2323,                0.77615,                 1.4132,               0.005248,               0.005248,               0.005248
                     50,                 1.3283,                 1.3239,                 1.5584,                0.91038,                0.92209,                0.96371,                0.60578,                 1.2327,                0.77343,                 1.4131,               0.005149,               0.005149,               0.005149
                     51,                 1.3152,                 1.3202,                 1.5467,                0.91125,                0.91866,                 0.9632,                0.60596,                 1.2325,                0.77034,                 1.4125,                0.00505,                0.00505,                0.00505
                     52,                 1.3134,                 1.3132,                 1.5435,                0.90754,                0.92438,                0.96394,                0.60699,                 1.2334,                0.76733,                 1.4132,               0.004951,               0.004951,               0.004951
                     53,                 1.3158,                  1.305,                   1.55,                0.91033,                0.92135,                0.96205,                0.60727,                 1.2345,                0.76433,                 1.4139,               0.004852,               0.004852,               0.004852
                     54,                 1.3106,                 1.2985,                 1.5498,                0.91416,                0.92123,                0.96316,                0.60967,                 1.2331,                0.76282,                 1.4123,               0.004753,               0.004753,               0.004753
                     55,                 1.2987,                 1.2935,                 1.5387,                0.91261,                0.92295,                0.96278,                0.60981,                 1.2329,                 0.7598,                 1.4137,               0.004654,               0.004654,               0.004654
                     56,                 1.3026,                 1.2882,                 1.5396,                0.91353,                0.92257,                0.96269,                0.61111,                 1.2321,                0.75783,                 1.4134,               0.004555,               0.004555,               0.004555
                     57,                  1.298,                 1.2865,                 1.5407,                 0.9123,                0.92621,                0.96229,                0.61138,                 1.2317,                0.75512,                 1.4141,               0.004456,               0.004456,               0.004456
                     58,                 1.2945,                 1.2875,                 1.5402,                0.91594,                0.92356,                 0.9652,                0.61274,                  1.231,                0.75224,                 1.4143,               0.004357,               0.004357,               0.004357
                     59,                 1.2896,                  1.279,                 1.5397,                0.91458,                0.92582,                 0.9653,                0.61278,                 1.2315,                0.74903,                 1.4153,               0.004258,               0.004258,               0.004258
                     60,                 1.2897,                 1.2727,                 1.5351,                0.91726,                0.92723,                0.96507,                0.61408,                 1.2296,                0.74758,                 1.4138,               0.004159,               0.004159,               0.004159
                     61,                  1.285,                 1.2613,                 1.5341,                0.91637,                0.92869,                0.96525,                 0.6146,                 1.2285,                0.74572,                 1.4131,                0.00406,                0.00406,                0.00406
                     62,                  1.283,                 1.2555,                 1.5306,                0.91212,                0.93151,                0.96491,                0.61545,                 1.2274,                0.74349,                  1.413,               0.003961,               0.003961,               0.003961
                     63,                 1.2815,                 1.2488,                 1.5218,                0.91245,                0.93151,                0.96501,                0.61659,                 1.2264,                0.74191,                 1.4122,               0.003862,               0.003862,               0.003862
                     64,                 1.2738,                 1.2387,                 1.5217,                0.91277,                0.93166,                0.96488,                0.61666,                 1.2256,                0.73977,                 1.4119,               0.003763,               0.003763,               0.003763
                     65,                 1.2766,                 1.2408,                 1.5197,                0.91426,                0.93117,                0.96483,                0.61659,                 1.2252,                0.73762,                 1.4119,               0.003664,               0.003664,               0.003664
                     66,                 1.2673,                 1.2267,                  1.513,                  0.911,                0.93236,                0.96489,                0.61796,                 1.2249,                0.73488,                 1.4121,               0.003565,               0.003565,               0.003565
                     67,                 1.2649,                 1.2324,                 1.5171,                0.91067,                0.93391,                0.96486,                0.61802,                 1.2245,                0.73284,                 1.4121,               0.003466,               0.003466,               0.003466
                     68,                 1.2586,                 1.2301,                 1.5109,                0.91278,                0.93182,                0.96516,                0.61919,                 1.2245,                0.73086,                 1.4124,               0.003367,               0.003367,               0.003367
                     69,                 1.2588,                 1.2251,                 1.5155,                0.91002,                0.93512,                0.96588,                0.61942,                 1.2234,                0.72951,                 1.4111,               0.003268,               0.003268,               0.003268
                     70,                 1.2515,                 1.2119,                 1.5059,                0.91229,                0.93501,                 0.9659,                0.61949,                  1.223,                0.72736,                 1.4111,               0.003169,               0.003169,               0.003169
                     71,                 1.2506,                 1.2033,                  1.501,                0.91388,                0.93664,                0.96618,                0.62081,                 1.2221,                0.72579,                 1.4111,                0.00307,                0.00307,                0.00307
                     72,                 1.2505,                 1.1992,                 1.5092,                 0.9147,                0.93642,                0.96675,                0.62114,                  1.222,                0.72267,                 1.4114,               0.002971,               0.002971,               0.002971
                     73,                  1.246,                 1.1929,                 1.5051,                0.91455,                0.93467,                0.96557,                0.62065,                 1.2224,                0.71982,                 1.4123,               0.002872,               0.002872,               0.002872
                     74,                  1.242,                 1.1877,                  1.493,                0.91439,                0.93493,                0.96615,                0.62065,                 1.2222,                0.71769,                  1.413,               0.002773,               0.002773,               0.002773
                     75,                  1.241,                 1.1822,                 1.5017,                0.91544,                 0.9375,                0.96758,                0.62144,                 1.2217,                0.71567,                 1.4135,               0.002674,               0.002674,               0.002674
                     76,                 1.2306,                 1.1738,                 1.4983,                0.91579,                 0.9375,                0.96779,                0.62255,                 1.2214,                0.71296,                 1.4139,               0.002575,               0.002575,               0.002575
                     77,                  1.229,                 1.1706,                 1.4872,                0.91786,                0.93752,                0.96806,                0.62222,                  1.221,                0.71088,                 1.4144,               0.002476,               0.002476,               0.002476
                     78,                 1.2256,                 1.1697,                 1.4863,                0.91842,                0.93408,                0.96832,                0.62293,                   1.22,                0.70846,                 1.4143,               0.002377,               0.002377,               0.002377
                     79,                 1.2254,                 1.1579,                 1.4867,                0.91832,                0.93236,                0.96855,                0.62398,                 1.2197,                0.70601,                 1.4147,               0.002278,               0.002278,               0.002278
                     80,                 1.2146,                 1.1601,                 1.4797,                0.91692,                0.93236,                0.96841,                0.62453,                 1.2182,                0.70454,                 1.4142,               0.002179,               0.002179,               0.002179
                     81,                 1.2174,                 1.1476,                 1.4783,                0.91667,                 0.9324,                0.96896,                0.62551,                 1.2178,                 0.7016,                 1.4143,                0.00208,                0.00208,                0.00208
                     82,                 1.2117,                 1.1433,                 1.4781,                0.91788,                0.93322,                0.96956,                0.62623,                 1.2168,                0.69922,                 1.4144,               0.001981,               0.001981,               0.001981
                     83,                 1.2114,                 1.1371,                  1.476,                0.91686,                0.93151,                0.96899,                0.62652,                 1.2161,                0.69709,                 1.4141,               0.001882,               0.001882,               0.001882
                     84,                 1.2081,                 1.1271,                 1.4717,                0.91753,                0.93345,                 0.9697,                0.62711,                 1.2161,                0.69468,                 1.4145,               0.001783,               0.001783,               0.001783
                     85,                 1.2001,                 1.1191,                 1.4683,                0.91675,                0.93333,                0.96985,                0.62766,                 1.2162,                0.69189,                 1.4153,               0.001684,               0.001684,               0.001684
                     86,                 1.1972,                 1.1137,                 1.4652,                0.91766,                0.93506,                0.97002,                0.62879,                 1.2158,                0.68959,                 1.4152,               0.001585,               0.001585,               0.001585
                     87,                 1.1983,                 1.1129,                 1.4661,                0.91769,                0.93543,                0.96976,                0.62912,                 1.2148,                0.68819,                 1.4148,               0.001486,               0.001486,               0.001486
                     88,                  1.188,                 1.1087,                 1.4587,                 0.9183,                0.93341,                 0.9698,                0.62923,                 1.2135,                0.68617,                 1.4141,               0.001387,               0.001387,               0.001387
                     89,                 1.1882,                 1.1011,                 1.4582,                0.91958,                0.93007,                0.97006,                0.62954,                 1.2136,                0.68426,                 1.4146,               0.001288,               0.001288,               0.001288
                     90,                 1.1829,                 1.1002,                 1.4525,                0.91957,                0.92988,                0.97033,                0.62928,                 1.2129,                0.68211,                 1.4147,               0.001189,               0.001189,               0.001189
                     91,                 1.1317,                0.82482,                 1.4598,                0.91794,                  0.929,                0.97027,                0.62951,                 1.2123,                0.68019,                  1.415,                0.00109,                0.00109,                0.00109
                     92,                 1.1121,                0.80502,                 1.4458,                0.91955,                0.92964,                0.97031,                 0.6319,                 1.2116,                0.67796,                 1.4156,               0.000991,               0.000991,               0.000991
                     93,                 1.1034,                0.78723,                 1.4422,                0.92061,                0.93065,                0.97076,                  0.633,                 1.2111,                0.67475,                 1.4156,               0.000892,               0.000892,               0.000892
                     94,                 1.0989,                0.77431,                 1.4343,                0.92189,                0.92968,                0.97205,                0.63406,                 1.2108,                0.67238,                 1.4156,               0.000793,               0.000793,               0.000793
                     95,                 1.0871,                0.76115,                 1.4275,                 0.9201,                0.92808,                0.96988,                0.63479,                 1.2102,                0.67024,                 1.4159,               0.000694,               0.000694,               0.000694
                     96,                 1.0775,                0.74813,                 1.4199,                0.92028,                 0.9291,                0.97051,                0.63655,                 1.2098,                 0.6677,                 1.4167,               0.000595,               0.000595,               0.000595
                     97,                 1.0783,                 0.7413,                 1.4245,                0.92398,                0.92617,                0.97022,                0.63713,                 1.2095,                0.66522,                 1.4173,               0.000496,               0.000496,               0.000496
                     98,                 1.0734,                0.73091,                 1.4209,                0.92945,                0.92209,                0.97064,                0.63764,                 1.2087,                  0.663,                 1.4175,               0.000397,               0.000397,               0.000397
                     99,                 1.0627,                0.72575,                 1.4138,                0.93164,                0.92184,                0.97127,                0.63805,                 1.2083,                0.66052,                 1.4179,               0.000298,               0.000298,               0.000298
                    100,                 1.0588,                0.72048,                 1.4064,                0.93486,                0.92209,                0.97187,                0.63814,                 1.2081,                0.65843,                 1.4186,               0.000199,               0.000199,               0.000199
